,Corruption Rank (2014),Country,Corruption 2014,Population,GDP (millions),GDP/Capita
140,136.0,Russia,27.0,146449330.0,3576841.0,24423.7443763
141,142.0,Comoros,26.0,784745.0,1190.0,1516.41616066
142,142.0,Uganda,26.0,34856813.0,75077.0,2153.86874296
143,142.0,Ukraine,26.0,42800501.0,371812.0,8687.09457396
144,145.0,Bangladesh,25.0,159438000.0,536482.0,3364.83147054
145,145.0,Guinea,25.0,10628972.0,15128.0,1423.27969252
146,145.0,Kenya,25.0,46050000.0,133015.0,2888.4907709
147,145.0,Laos,25.0,6802000.0,34532.0,5076.74213467
148,145.0,Papua New Guinea,25.0,7398500.0,18595.0,2513.34730013
149,150.0,Central African Republic,24.0,4900000.0,2865.0,584.693877551
150,150.0,Paraguay,24.0,7003406.0,58493.0,8352.07897414
152,152.0,Tajikistan,23.0,8354000.0,22402.0,2681.58965765
153,154.0,Chad,22.0,14037000.0,29641.0,2111.63353993
155,156.0,Cambodia,21.0,15405157.0,50161.0,3256.11741575
156,156.0,Myanmar,21.0,53897000.0,244365.0,4533.92582147
157,156.0,Zimbabwe,21.0,13061239.0,27256.0,2086.78518171
158,159.0,Burundi,20.0,9823827.0,8409.0,855.980057466
160,161.0,Angola,19.0,24383301.0,177264.0,7269.8934406
161,161.0,Guinea-Bissau,19.0,1844000.0,2532.0,1373.10195228
162,161.0,Haiti,19.0,10911819.0,18376.0,1684.04552898
163,161.0,Venezuela,19.0,30620404.0,540898.0,17664.626502
164,161.0,Yemen,19.0,25956000.0,104008.0,4007.08891971
165,166.0,Eritrea,18.0,5228000.0,7842.0,1500.0
166,166.0,Libya,18.0,6278000.0,97938.0,15600.1911437
167,166.0,Uzbekistan,18.0,31022500.0,172298.0,5553.96889355
168,169.0,Turkmenistan,17.0,4751120.0,82395.0,17342.226675
169,170.0,Iraq,16.0,36004552.0,526090.0,14611.7635348
170,171.0,South Sudan,15.0,11892934.0,23496.0,1975.62687223
171,172.0,Afghanistan,12.0,26023100.0,60808.0,2336.69316876
172,173.0,Sudan,11.0,38435252.0,160189.0,4167.76244891
